"title";"author";"abstract";"year";"keywords"
"11";"From flood impact modelling to flood impact forecasts";"Andreas Paul Zischg";"";2024;"diagnosis, cancer, genetics, t-cell, therapy"
"12";"18th Annual Planning, Law, and Property Rights Conference";"Josje Anna Bouwmeester";"";2024;"covid, vaccine, hesitancy, survey, asia"
"13";"Licht?Blicke";"Stefan Br{\"o";"Mit einem Volumenanteil von 0,000 04 % w{\"a";2024;"volume, percentage, ultradissolved, materials, elemental"
"14";"No effect on biological or chemical soil properties when amended with effective microorganisms for improved cover crop decomposition";"Simon Raphael Oberholzer and Christa Herrmann and Natacha Bodenhausen and Hans-Martin Krause and Adrien Mestrot and Chinwe Ifejika Speranza and Klaus Jarosch";"";2024;"smartphones, usage, addiction, adolescents, consequences"
"15";"The practice of historical ecology: What, when, where, how and what for.";"Aar{'o";"In recent decades, there has been a growing number of studies exploring the historical dimensions of the interconnectedness of human societies and the environment. A core approach in this field is historical ecology. We analyzed 544 historical-ecological papers to assess patterns and trends in the field. We found a high degree of interdisciplinarity with a focus on local case studies, of periods of fewer than 500 years, analyzing archival sources through quantitative approaches. The proportion of papers containing management recommendations has increased over time. To make historical ecology globally relevant, more effort should be made to utilize studies across languages, borders and worldviews. We call for high standards regarding the use of social scientific methodologies. Lastly, we argue that fostering longer-term studies and assessing the real-life impact of policy recommendations emerging from historical ecology can help the discipline better contribute solutions to the challenges facing humanity in an uncertain future.";2024;"historical, ecology, interdisciplinary, local, management"
"16";"Ein Urteil geht um die Welt";"Charlotte Elisabeth Blattner and Claus Beisbart and V{'e";"";2024;"breast, cancer, recurrence, genomic, predictors"
"17";"EGU General Assembly 2024";"Felicia Olufunmilayo Akinyemi and Chinwe Ifejika Speranza";"Agricultural land area is increasing globally despite the loss of productive agricultural lands in some world regions. The knowledge about major agricultural land changes and the impacts on the quality of land in both cropland and grassland in Africa is still very limited. We conducted an African continent-wide assessment of the dynamics of agricultural landscapes (i.e., gains, losses, and net change). With pressure mounting to halt biodiversity loss and stem land degradation in agricultural areas across all world regions, promoting sustainable agriculture requires not only an understanding of agricultural land-use change but also the impacts of such changes on land quality. We identify influencing factors and model the quality of land associated with agricultural land gains and losses between 2000 and 2018. Land quality in gained and displaced croplands and grasslands was established using spatially-explicit analysis of changes in Net Primary Productivity, soil organic carbon content, crop suitability and percent yield change for five major crops of global importance grown across Africa. These are maize, rice, soybean, wheat, and alfalfa. Influencing factors in each agricultural land change area (i.e., areas of cropland and grassland gains and losses) were examined. In cropland loss and gain areas, settlement development, proximity to perennial rivers/water bodies, and access to a major road were important. For example, most land areas transitioning to cropland in Africa were associated with large distances away from major roads. The preceding finding suggests the remoteness of newly gained croplands. However, distances to a major road, waterbody, settlement, and elevation were important for explaining grassland dynamics. Land quality was better in gained croplands than in those lost, whereas gained grasslands were of lesser quality compared to areas of grassland loss. Five typologies of African countries were developed based on net yield and amount of land cultivated per crop in cropland change areas. Type 1 typifies net yield increase and cultivated land decrease, while type 2 is characterized by yield increase consequent upon cropland expansion. Net yield and land remain unchanged in type 3, while in type 4, cultivated land increased, but yield decreased for maize in 40% of African countries, and in type 5, yield and land area decreased. This study thus provides evidence about the quality of land in gained and lost agricultural areas and generalizable insights on their dynamics across Africa.";2024;"agricultural, land, quality, change, factors"
"18";"EGU General Assembly 2024";"Christian Rohr and Samuel Nussbaumer and C{'e";"Glaciers are excellent climate indicators, and the worldwide glacier retreat serves as a warning signal for the current climate change with its dramatic effects on humans and the environment. Visualizing glacier change by means of images can reach a broad public. Historical glacier images, especially from the so-called Little Ice Age (LIA, approx. AD 1300 to 1850 in the European Alps), show the earlier glacier fluctuations in a particularly impressive way and give us a unique insight into the climatic events of that time. These findings are in turn the key to understand current and possible future climate changes. The long-term research project \"Euro-Climhist\" is one of the first projects of its kind worldwide to extract historical documentary data on climate and weather from a wide variety of source types, evaluate the data accordingly, and make it generally accessible in an online database (https://www.euroclimhist.unibe.ch). Until now, the Euro-Climhist database consisted mainly of written sources and measurement data. Within this project, the Euro-Climhist database was conceptually extended to include and secure glacier images in the long term, and to make them accessible to researchers and to the public. Around 500 glacier images were specially prepared for the database and provided with the corresponding metadata, i.e., the name of the artist, the original descriptions as well as supplementary descriptions from the literature, the dating of the images, and the image type. In particular, the assignment to one of five image types - drawing, oil painting, print, photograph, or map - allows conclusions to be drawn about the accuracy of the glacier extents depicted. Besides written evidence, historical pictorial representations of glaciers allow us to reconstruct glacier extents in the Alps from the early 17th century onwards. Satisfactory quantities of historical material are only available for those glaciers that achieved the necessary degree of fame early on to attract travellers, scientists, and artists. Pictorial representations in painting and graphic arts date back to the early 17th century, but only appear in large numbers with the emerging popularity of Alpine travel during the 18th century. Photographs are available from the end of the 1840s.";2024;"glaciers, climate, images, historical, database"
"19";"Session HS1.3.1 HELPING science for solutions decade";"Adeyemi Olusola and Giulio Castelli and Natalie Claire Ceperley";"The current IAHS decade is dedicated to \"Hydrology Engaging Local People IN one Global world\" (HELPING). One of the core mandates of HELPING, as captured under Theme 3, emphasizes the co-creation of water knowledge and communication. Even though co-creation is not novel, especially within a participatory framework, defining and providing boundaries has been challenging when viewed through a hydrological lens. Our ongoing discussions and meetings have focused on understanding the uniqueness of this Theme and how best we can HELP to utilize diverse communication instruments IN one Global world. For Theme 3, we intend to answer questions such as: (a) How best can we co-create hydrological knowledge (indigenous/traditional and evidence-based) between people and disciplines? (b) How can we improve and increase the visibility of the hydrological decade? (c) How can we provide water solutions through the active engagement of Local People? Some answers to these questions lie in focusing on bottom-up approaches to solve the water crisis in a globally changing world. We acknowledge the fluidities in HELPING regarding the co-creation of water knowledge, which underscores the recognition of variability and complexity within this endeavour. As such, we intend to be diverse in our approach by amplifying silent voices that may have been overlooked, also with a decolonial perspective, and engaging other perspectives from other disciplines, such as but not limited to social sciences and humanities, specifically those whose work intersects sociohydrology, hydro-sociology, hydropolitics and hydronarratives.";2024;"helping, co-creation, communication, diverse, global"
"20";"HS2.2.5 The invisible controls of catchment hydrology: storage, flows and interactions in the subsurface";"Natalie Claire Ceperley and Sabina Kurmann and Anna Meier and Martine Jeanne Helfer and Bettina Schaefli";"";2024;"fisheries, management, framework, evaluation, sustainability"
"21";"Pesticide Residues in Organic and Conventional Agricultural Soils across Europe: Measured and Predicted Concentrations.";"Dennis Knuth and Lingtong Gai and Vera Silva and Paula Harkes and Jakub Hofman and Marek {v S";"During the growing season of 2021, 201 soil samples from conventionally and organically managed fields from 10 European countries and 8 cropping systems were taken, and 192 residues of synthetic pesticides were analyzed. Pesticide residues were found in 97% of the samples, and 88% of the samples contained mixtures of at least 2 substances. A maximum of 21 substances were found in conventionally managed fields, and a maximum of 12 were found in organically managed fields. The number and concentration of pesticide residues varied significantly between conventional and organic fields in 70 and 50% of the case study sites, respectively. Application records were available for a selected number of fields (n = 82), and these records were compared to the detected substances. Residues from 52% of the applied pesticides were detected in the soils. Only 21% of the pesticide residues detected in the soil samples were applied during the 2021 growing season. From the application data, predicted environmental concentrations of residues in soil were calculated and compared to the measured concentrations. These estimates turned out not to be accurate. The results of this study show that most European agricultural soils contain mixtures of pesticide residues and that current calculation methods may not reliably estimate their presence.";2024;"pesticide, residues, european, soils, concentrations"
"22";"Best performances of visible?near-infrared models in soils with little carbonate ? a field study in Switzerland";"Simon Raphael Oberholzer and Laura Summerauer and Markus Steffens and Chinwe Ifejika Speranza";"Conventional laboratory analysis of soil properties is often expensive and requires much time if various soil properties are to be measured. Visual and near-infrared (vis?NIR) spectroscopy offers a complementary and cost-efficient way to gain a wide variety of soil information at high spatial and temporal resolutions. Yet, applying vis?NIR spectroscopy requires confidence in the prediction accuracy of the infrared models. In this study, we used soil data from six agricultural fields in eastern Switzerland and calibrated (i) field-specific (local) models and (ii) general models (combining all fields) for soil organic carbon (SOC), permanganate oxidizable carbon (POXC), total nitrogen (N), total carbon (C) and pH using partial least-squares regression. The 30 local models showed a ratio of performance to deviation (RPD) between 1.14 and 5.27, and the root mean square errors (RMSE) were between 1.07 and 2.43-g-kg?1 for SOC, between 0.03 and 0.07-g-kg?1 for POXC, between 0.09 and 0.14-g-kg?1 for total N, between 1.29 and 2.63-g-kg?1 for total C, and between 0.04 and 0.19 for pH. Two fields with high carbonate content and poor correlation between the target properties were responsible for six local models with a low performance (RPD {ensuremath{<";2024;"soil, visnir, spectroscopy, accuracy, models"
"23";"Incorporating photosynthetic acclimation improves stomatal optimisation models.";"Victor Flo and Jaideep Pradeep Joshi and Manon Sabot and David Sandoval and Iain Colin Prentice";"Stomatal opening in plant leaves is regulated through a balance of carbon and water exchange under different environmental conditions. Accurate estimation of stomatal regulation is crucial for understanding how plants respond to changing environmental conditions, particularly under climate change. A new generation of optimality-based modelling schemes determines instantaneous stomatal responses from a balance of trade-offs between carbon gains and hydraulic costs, but most such schemes do not account for biochemical acclimation in response to drought. Here, we compare the performance of six instantaneous stomatal optimisation models with and without accounting for photosynthetic acclimation. Using experimental data from 37 plant species, we found that accounting for photosynthetic acclimation improves the prediction of carbon assimilation in a majority of the tested models. Photosynthetic acclimation contributed significantly to the reduction of photosynthesis under drought conditions in all tested models. Drought effects on photosynthesis could not accurately be explained by the hydraulic impairment functions embedded in the stomatal models alone, indicating that photosynthetic acclimation must be considered to improve estimates of carbon assimilation during drought.";2024;"stomatal, regulation, optimality, modelling, acclimation"
"24";"East Asian monsoon and westerly jet driven changes in climate and surface conditions in the NE drylands of China since the Late Pleistocene";"Steve Pratte and Kushan Bao and Chuxian Li and Wenfang Zhang and Ga{\"e";"";2024;"dementia, inflammation, cognition, imaging, markers"
"25";"ICDP workshop on the Lake Victoria Drilling Project (LVDP): scientific drilling of the world's largest tropical lake";"Melissa A. Berke and Daniel J. Peppe and Martin Grosjean and Moritz Muschick and Hendrik Vogel";"Lake Victoria, which is bordered by Uganda, Tanzania, Kenya, and has a catchment that extends to Rwanda and Burundi, is home to the largest human population surrounding any lake in the world and provides critical resources across eastern Africa. Lake Victoria is also the world's largest tropical lake by surface area, but it is relatively shallow and without a major inlet, making it very sensitive to changes in climate, and especially hydroclimate. Furthermore, its size creates abundant habitats for aquatic fauna, including the iconic hyper-diverse cichlids, and serves as a major geographic barrier to terrestrial fauna across equatorial Africa. Given Lake Victoria's importance to the eastern African region, its sensitivity to climate, and its influences on terrestrial and aquatic faunal evolution and dispersal, it is vital to understand the connection between the lake and regional climate and how the lake size, shape, and depth have changed through its depositional history. This information can only be ascertained by collecting a complete archive of Lake Victoria's sedimentary record. To evaluate the Lake Victoria basin as a potential drilling target, {$sim$";2024;"lake, resources, climate, fauna, history"
"26";"Embodied Geopolitics: The Discursive Construction of Refugee Men and Masculinities in Turkey";"Devran Koray {\"O";"A new wave of displaced people from Afghanistan arriving in Turkey in August-September 2021 generated public debates about how the country would protect its borders while continuing to face the ?problem? posed by more than 3 million displaced Syrians. Much of these debates centred on refugee men and scrutinised their bodies and bodily acts to produce them as Other. This article analyses how the racialised and gendered depictions of refugee men in Turkey discursively produce geopolitical spatial hierarchies. Our analysis includes political leaders? speeches, news articles, and opinion pieces published in mainstream media outlets and social media about displaced people from Syria and Afghanistan since 2016. We build on and contribute to feminist geopolitics and refugee studies by focusing on refugee men and masculinities, teasing out the contradictions in the geopolitical narratives centred on refugee men?s bodies, and analysing their implications for representing civilisational hierarchies. Using the concept of embodied geopolitics, we show how the dominant anti-refugee discourse in Turkey operates through a series of contradictory -but eventually complementary- geopolitical depictions of refugee men?s bodies, appearance, and behaviour that simultaneously masculinise and feminise them. These portrayals present refugee men either as fighters or cowards, as modern or backward. We argue that gendered and racialised refugee bodies animate geopolitical narratives and demonstrate that bodies are not simply territories with fixed meanings. Instead, they are constantly and simultaneously inscribed with multiple meanings that operate together and, ultimately, produce international hierarchies, ethnic boundaries, and the modern/backward dualism.";2024;"displaced, men, bodies, geopolitics, gendered"
"27";"Root-exuded specialized metabolites reduce arsenic toxicity in maize.";"Veronica Lucia Luigina Cagg{`i";"By releasing specialized metabolites, plants modify their environment. Whether and how specialized metabolites protect plants against toxic levels of trace elements is not well understood. We evaluated whether benzoxazinoids, which are released into the soil by major cereals, can confer protection against arsenic toxicity. Benzoxazinoid-producing maize plants performed better in arsenic-contaminated soils than benzoxazinoid-deficient mutants in the greenhouse and the field. Adding benzoxazinoids to the soil restored the protective effect, and the effect persisted to the next crop generation via positive plant-soil feedback. Arsenate levels in the soil and total arsenic levels in the roots were lower in the presence of benzoxazinoids. Thus, the protective effect of benzoxazinoids is likely soil-mediated and includes changes in soil arsenic speciation and root accumulation. We conclude that exuded specialized metabolites can enhance protection against toxic trace elements via soil-mediated processes and may thereby stabilize crop productivity in polluted agroecosystems.";2024;"plants, metabolites, arsenic, protection, soil"
"28";"Extreme springs in Switzerland since 1763 in climate and phenological indices";"Noemi Imfeld and Koen Hufkens and Stefan Br{\"o";"Historical sources report manifold on hazardous past climate and weather events that had considerable impacts on society. Studying changes in the occurrence or mechanisms behind such events is, however, hampered by a lack of spatially and temporally complete weather data. In particular, the spring season has received less attention in comparison to summer and winter but is nevertheless relevant, since weather conditions in spring can delay vegetation and create substantial damage due to late-frost events. For Switzerland, we created a daily high-resolution (1-{$times$";2024;"climate, historical, society, data, switzerland"
"29";"PLPR 2024 (International Association of Planning Law and Property Rights), Annual Conference";"Deniz Ay and Berit Jessica Verheij";"Housing cooperatives are a successful mechanism for providing affordable housing in cities facing acute housing shortages. Based on common property and collective governance, the vast majority of non-profit housing cooperatives facilitate the processes of decommodifying urban land and commoning housing (Balmer & Gerber, 2017). In many countries, governments support housing cooperatives by making public land and direct financial backing available as an affordable housing policy (Ferreri & Vidal, 2022; Barenstein et al., 2022). At the project level, municipal authorities can also facilitate the production of indoor and outdoor common spaces for care functions (Tummers & Macgregor 2019). These spaces serve for collective uses of the residents and public authorities ensure their provision through special land use plans as a project-based planning instrument. Collectivization of property and housing governance creates windows of opportunity for renegotiating care work more democratically within a group of residents rather than household-level gendered division of labour (Hayden, 1980). In this paper, we explore the potential of commoning housing through a cooperative model for enabling a community of residents that collectivizes not only the management of housing as shelter but also the maintenance of everyday life, i.e., the process of social reproduction. We interpret housing commons as going beyond a collection of private units ?in saturated space? (Huron, 2015), constituting a community of users that maintain housing while also providing access to spaces for social reproduction, more specifically, care. Using a critical institutionalist approach (Cleaver & De Koning, 2015), we ask how the planning interventions together with public and private interests shape the spatial organization of childcare through public, market-based, and community-based provision mechanisms in the context of housing cooperatives. Empirically speaking, we take two young housing cooperatives in Bern, Switzerland (Heubergas and Warmb{\"a";2024;"housing, cooperatives, commoning, care, community"
"30";"Latest Pleistocene and Holocene primary producer communities and hydroclimate in Lake Victoria, eastern Africa";"Giulia Luise Wienhues and Andrea Lami and Stefano Bernasconi and Madalina Jaggi and Marina Alexandra Morlock and Hendrik Vogel and Andrew S. Cohen and Colin J. Courtney Mustaphi and Oliver Heiri and Leighton Rebecca King and Mary A. Kishe and Pavani Misra and Moritz Muschick and Dora Nare Ngoepe and Blake Matthews and Ole Seehausen and Yunuen Temoltzin Loranca and Willy Tinner and Martin Grosjean";"The Lake Victoria ecosystem is emblematic of the catastrophic effects that human activities, particularly cultural eutrophication, can have on freshwater biodiversity. However, little is known about the long-term spatial and temporal pattern of aquatic primary paleo-production (PPaq) and producer communities in Lake Victoria and how these patterns relate to past climate variability, landscape evolution, lake hydrology, mixing regimes, nutrient cycling, and biodiversity dynamics in the past 17 kyr. We use sediments from four well-dated cores along a transect from offshore to nearshore sites, and exploit XRF element scanning and hyperspectral imaging data, TC, TN, bSi, {ensuremath{delta";2024;"lake, primary, production, biodiversity, climate"
"31";"67Zn and 111Cd labelled green manure to determine the fate and dynamics of zinc and cadmium in soil-fertilizer-crop systems.";"Manja K{\"u";"Isotope source tracing enables to accurately determine the fate of nutrients that are applied with fertilizers to soils. While this approach is well established for major nutrients such as nitrogen, it is not yet established for trace metals. Here, we aimed to determine the fate of the micronutrient zinc (Zn) and the contaminant cadmium (Cd) that were applied with an organic fertilizer to a soil-wheat system. A pot study was conducted in which wheat was grown on an alkaline soil. The soils received green manure and/or soluble Zn fertilizer and were compared with non-fertilized control treatments (n-=-4 experimental replicates). The green manure was labelled with the stable isotopes 67Zn and 111Cd. For an efficient sample throughput, a method was provided and validated to determine enriched stable isotope ratios (67Zn:66Zn and 111Cd:110Cd) and the Zn and Cd concentrations in one analytical run. To this end, single collector ICP-MS analyses and stable isotope mass balances calculations were combined. Applying this method revealed that the addition of green manure increased neither Zn nor Cd concentrations in wheat grains due to biomass dilution effects. Isotope source tracing showed that the largest fraction of these metals in the wheat shoots derived from the soil in all treatments (Zn 87-99â%, Cd-94-98â%). Moreover, the addition of green manure increased the transfer of Zn and Cd from soil to wheat by a factor 1.9 for both elements. This increased transfer was likely related to a nitrogen fertilization effect that increased root and shoot biomass and thereby the soil exploration of the wheat. This study demonstrated how the fate and dynamics of multiple trace metals can be efficiently determined in soil-fertilizer-crop systems using isotope source tracing.";2024;"isotope, fate, metals, soil, tracing"
"32";"Holocene overbank sedimentation in Central Europe between natural and human drivers - The Wei{ss";"Hans von Suchodoletz and Azra Khosravichenar and Pierre F{\"u";"Up to several meters thick fine-grained Holocene overbank deposits are ubiquitously found in most Western and Central European lowland floodplains. However, despite their large importance for the geomorphological and geoecological floodplain properties, the interplay of different possible causes for their formation are not well understood yet. Most authors suggest human-induced deforestation as the main precondition for sediment mobilization and transport from the slopes to the floodplain, whereas others suggest a stronger influence of climatic factors. This current research gap is caused by often missing well-resolved fluvial chronostratigraphies and spatio-temporal information about former human activity within the studied catchments. To fill this gap we exemplarily studied Holocene overbank sedimentation and possible human or natural drivers in the meso-scale Wei{ss";2024;"tholz catchment, Germany. 

fine-grained, overbank, formation, human, climatic"
"33";"Reproduktive Gesundheit ? die Perspektive geflu?chteter Frauen in der Schweiz";"Milena Isabel Wegelin and Laura Perler and Nour Abdin and Christine Sieber and Lynn Huber and Eva Cignacco";"";2024;"quantum, computation, noisy, intermediate, cooling"
"34";"EGU General Assembly 2024";"Sidharth Sivaraj and Jonathan Robert Buzan and Olivia Romppainen-Martius and Ana Maria Vicedo Cabrera";"";2024;"sampling, strategy, efficiency, universe, estimator"
